coefficient_case,family,contrast_target,contrast_observed,grad_logk_inf,total_variation_proxy,n,n_unknowns,method,tolerance,converged,iterations,setup_seconds,solve_seconds,total_seconds,residual_norm,memory_estimate_mb,best_method,is_best,speedup_vs_cg
layered_c30,layered,30.0,30.0,107.1377175223579,29.46031746031746,64,3844,amg-pcg,1e-08,True,8,0.009286899934522808,0.004468200029805303,0.01375509996432811,7.979376757048841e-09,0.3197669982910156,jacobi-pcg,False,2.324345159687103
layered_c30,layered,30.0,30.0,215.97603373554688,29.228346456692915,128,15876,cg,1e-08,True,1402,4.00003045797348e-07,0.9603222999721766,0.9603226999752223,9.825167818127518e-09,1.3266029357910156,amg-pcg,False,1.0
layered_c30,layered,30.0,30.0,215.97603373554688,29.228346456692915,128,15876,jacobi-pcg,1e-08,True,329,0.00018169998656958342,0.23376279999502003,0.23394449998158962,9.738969390959482e-09,1.3266029357910156,amg-pcg,False,4.104916764663394
layered_c30,layered,30.0,30.0,215.97603373554688,29.228346456692915,128,15876,amg-pcg,1e-08,True,10,0.05972640006802976,0.026770199998281896,0.08649660006631166,1.8906460573724836e-09,1.3266029357910156,amg-pcg,True,11.102432919201467
layered_c30,layered,30.0,30.0,433.65266616192486,29.113725490196078,256,64516,cg,1e-08,True,2849,4.00003045797348e-07,3.444478699937463,3.4444790999405086,9.966518868291389e-09,5.402774810791016,amg-pcg,False,1.0
layered_c30,layered,30.0,30.0,433.65266616192486,29.113725490196078,256,64516,jacobi-pcg,1e-08,True,659,0.0002967000473290682,0.8527028999524191,0.8529995999997482,9.780507751615237e-09,5.402774810791016,amg-pcg,False,4.038078212394854
layered_c30,layered,30.0,30.0,433.65266616192486,29.113725490196078,256,64516,amg-pcg,1e-08,True,10,0.17607339995447546,0.07812159997411072,0.2541949999285862,1.925974602275177e-09,5.402774810791016,amg-pcg,True,13.550538369787779
layered_c100,layered,100.0,100.0,145.0628608586249,100.57142857142857,64,3844,cg,1e-08,True,1136,4.00003045797348e-07,0.05497009993996471,0.05497049994301051,9.28175956662757e-09,0.3197669982910156,jacobi-pcg,False,1.0
layered_c100,layered,100.0,100.0,145.0628608586249,100.57142857142857,64,3844,jacobi-pcg,1e-08,True,164,0.00010599999222904444,0.008223399985581636,0.00832939997781068,9.526385765497279e-09,0.3197669982910156,jacobi-pcg,True,6.599575010138856
layered_c100,layered,100.0,100.0,145.0628608586249,100.57142857142857,64,3844,amg-pcg,1e-08,True,9,0.009370999992825091,0.004900200059637427,0.014271200052462518,1.7914249945993096e-09,0.3197669982910156,jacobi-pcg,False,3.8518484599005576
layered_c100,layered,100.0,100.0,292.42830681024384,99.77952755905511,128,15876,cg,1e-08,True,2447,5.00003807246685e-07,1.5254669000860304,1.5254674000898376,9.125319690900396e-09,1.3266029357910156,amg-pcg,False,1.0
layered_c100,layered,100.0,100.0,292.42830681024384,99.77952755905511,128,15876,jacobi-pcg,1e-08,True,325,0.00013770000077784061,0.20205259998328984,0.20219029998406768,9.672378983313863e-09,1.3266029357910156,amg-pcg,False,7.544711097466309
layered_c100,layered,100.0,100.0,292.42830681024384,99.77952755905511,128,15876,amg-pcg,1e-08,True,10,0.05313440004829317,0.025485999998636544,0.07862040004692972,7.424726977513212e-09,1.3266029357910156,amg-pcg,True,19.4029462986612
