n,contrast,geometry,average,rhs,repeat,order,method,seed,reflection_x,reflection_y,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,complexity
192,1000.0,components1_29,harmonic,dipole_x,0,7,jacobi,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00013579999995272374,0.15385080000032758,0.1539866000002803,897,0,9.525922876528353e-10,True,0.0
192,1000.0,components1_29,harmonic,random,1,0,amg0,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.040639000000737724,0.03833829999985028,0.078977300000588,12,0,9.206473430969474e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,dipole_x,1,1,amg0,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04058759999952599,0.04701199999999517,0.08759959999952116,15,0,2.2445180855722254e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,ones,1,2,amg0,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.039449999999305874,0.043240899999545945,0.08269089999885182,14,0,9.206630117232884e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,random,1,3,jacobi,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00016179999965970637,0.1469204000004538,0.14708220000011352,878,0,9.885001493192472e-10,True,0.0
192,1000.0,components1_29,harmonic,dipole_y,1,4,amg0,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.039753400000336114,0.04587600000013481,0.08562940000047092,15,0,5.257972378523939e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,dipole_y,1,5,jacobi,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00012379999952827347,0.1815838000002259,0.18170759999975417,898,0,9.934196921285666e-10,True,0.0
192,1000.0,components1_29,harmonic,ones,1,6,jacobi,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0001326000001427019,0.16606709999996383,0.16619970000010653,894,0,2.7733853707091886e-09,True,0.0
192,1000.0,components1_29,harmonic,dipole_x,1,7,jacobi,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0001353999996354105,0.16600179999932152,0.16613719999895693,897,0,9.525922876528353e-10,True,0.0
192,1000.0,components1_29,harmonic,dipole_y,2,0,jacobi,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00014629999986937037,0.16622910000023694,0.1663754000001063,898,0,9.934196921285666e-10,True,0.0
192,1000.0,components1_29,harmonic,random,2,1,jacobi,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00013669999952981016,0.16273699999965174,0.16287369999918155,878,0,9.885001493192472e-10,True,0.0
192,1000.0,components1_29,harmonic,dipole_y,2,2,amg0,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04233509999994567,0.050107300000490795,0.09244240000043646,15,0,5.262332794559073e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,ones,2,3,amg0,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.05549239999982092,0.0778386000001774,0.1333309999999983,14,0,9.211702628923382e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,ones,2,4,jacobi,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0002248999999210355,0.17459550000057789,0.17482040000049892,894,0,2.7733853707091886e-09,True,0.0
192,1000.0,components1_29,harmonic,dipole_x,2,5,amg0,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04220530000020517,0.05063039999913599,0.09283569999934116,15,0,2.2413990747976059e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,dipole_x,2,6,jacobi,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00015929999972286168,0.16600949999974546,0.16616879999946832,897,0,9.525922876528353e-10,True,0.0
192,1000.0,components1_29,harmonic,random,2,7,amg0,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04788469999948575,0.03896600000007311,0.08685069999955886,12,0,9.209360206404629e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,ones,3,0,amg0,2704,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04700620000039635,0.05057570000008127,0.09758190000047762,14,0,9.246712495510241e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,dipole_y,3,1,amg0,2704,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.043105100000502716,0.05181489999995392,0.09492000000045664,15,0,5.254893077733189e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,dipole_x,3,2,amg0,2704,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.047343000000182656,0.05060150000008434,0.097944500000267,15,0,2.2439697958439658e-10,True,1.3386725269834205
192,1000.0,components1_29,harmonic,random,3,3,amg0,2704,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.041636799999650975,0.04491520000010496,0.08655199999975594,12,0,9.200709232866449e-10,True,1.3386725269834205
